2,1788283800,1.16001,234
0,1788368400,1.16034,234
1,1788372000,1.15924,234
1,1788409800,1.15904,234
1,1788414300,1.15901,234
0,1788451200,1.16249,234
0,1788465600,1.16360,234
0,1788537600,1.16008,233
2,1788962400,1.16293,233
2,1788983100,1.16339,233
2,1789016400,1.16386,233
2,1789039800,1.16376,233
0,1789052400,1.16162,233
0,1789056000,1.16036,233
2,1789150500,1.16065,234
0,1789369200,1.15694,233
0,1789380000,1.15517,233
0,1789401600,1.15313,233
2,1789489800,1.15424,234
2,1789523100,1.15398,234
1,1789553700,1.15497,234
2,1789583400,1.15359,234
0,1789596000,1.14695,233
2,1789739100,1.14716,234
1,1789769700,1.14844,234
1,1789965900,1.14844,234
2,1789993800,1.14765,234
1,1789998300,1.14823,234
1,1790001000,1.14836,234
0,1790074800,1.14455,233
2,1790082900,1.14632,234
2,1790085600,1.14649,234
