0,1785718800,1.15464,234
2,1785751200,1.15258,233
1,1785780900,1.15023,233
2,1785999600,1.15477,233
2,1786003200,1.15481,233
2,1786005900,1.15475,233
1,1786020300,1.15367,233
1,1786027500,1.15376,233
1,1786032000,1.15376,233
0,1786118400,1.15716,234
0,1786129200,1.15576,234
0,1786136400,1.15602,234
0,1786140000,1.15643,234
2,1786347900,1.15490,233
1,1786381200,1.15441,233
1,1786387500,1.15465,233
1,1786391100,1.15458,233
1,1786502700,1.15421,234
0,1786550400,1.15585,234
0,1786568400,1.15204,233
0,1786708800,1.15547,234
0,1786719600,1.15645,234
0,1786726800,1.15793,234
0,1786960800,1.15949,234
0,1786964400,1.16055,234
2,1786993200,1.15890,233
0,1787144400,1.16054,234
0,1787155200,1.16348,234
0,1787227200,1.16976,234
0,1787230800,1.17059,234
2,1787247000,1.16780,233
2,1787252400,1.16783,233
2,1787328000,1.16897,2332,1787720400,1.16692,233
2,1787723100,1.16694,233
